Indice_Tempo,Valor_real,Previsao_SARIMAX
4809,0.0,-3.900177049292191e-29
4810,12.6,9.741716478182008
4811,462.6,403.7591584009849
4812,1282.3,1159.295537970409
4813,2006.5,1843.0557162803552
4814,2536.2,2367.608127958297
4815,2837.0,2700.1061923669317
4816,2849.9,2700.0195338385392
4817,2648.0,2634.8917066906583
4818,2128.2,2210.898671366995
4819,1692.5,1544.6079187111632
4820,936.9,862.5377759768662
4821,192.3,284.64809290882613
4822,0.0,23.7034199003907
4823,0.0,1.8884758164538996e-29
4824,0.0,8.458407664352705e-30
4825,0.0,-7.598176542177233e-30
4826,0.0,-1.4127105050597282e-29
4827,0.0,1.0271979320075651e-29
4828,0.0,-7.405598924120824e-29
4829,0.0,-3.4223747965117975e-30
4830,0.0,7.151230440450241e-31
4831,0.0,2.0372324551161036e-29
4832,0.0,-3.3244958366583844e-29
4833,0.0,2.021031389759052e-29
4834,9.5,10.402060409697105
4835,461.9,406.38420522731127
4836,1284.6,1165.4512613409147
4837,1990.6,1863.8342204036062
4838,2520.2,2373.1558553172117
4839,2814.6,2688.586389765049
4840,2856.9,2708.3883791340927
4841,2666.7,2609.267887532531
4842,2258.9,2162.5726477498747
4843,1241.0,1661.3972778328607
4844,929.2,683.2253388046405
4845,117.4,230.17364512383222
4846,0.0,-35.91301547195138
4847,0.0,6.423950256559257e-15
4848,0.0,-2.582083295642574e-29
4849,0.0,-1.7369363844705727e-28
4850,0.0,-9.569078072022046e-30
4851,0.0,3.075922486957522e-29
4852,0.0,-1.1968604263322866e-28
4853,0.0,1.6389410965606145e-29
4854,0.0,-1.8234644428634486e-29
4855,0.0,-1.1795265455062947e-28
4856,0.0,-3.6479967709930925e-29
4857,0.0,2.2295085345646457e-29
4858,19.8,9.669668703475516
4859,461.5,413.3049889040803
4860,926.7,1164.474925708831
4861,1831.0,1629.6441473529349
4862,2513.6,2270.953627710469
4863,2802.8,2670.468898349216
4864,2841.5,2712.7548048966755
4865,2581.0,2549.1896990414107
4866,2240.3,2086.8683040255655
4867,1671.2,1477.8282506036392
4868,741.5,1068.0009768716193
4869,167.5,84.1690788459826
4870,0.0,20.59420553781696
4871,0.0,2.1467514164371317e-28
4872,0.0,2.1790186506961107e-29
4873,0.0,-6.930725947136692e-29
4874,0.0,-2.608891600893486e-28
4875,0.0,5.48802812459763e-30
4876,0.0,-8.403106472539396e-30
4877,0.0,2.5328220065914385e-28
4878,0.0,-5.2435335263557e-29
4879,0.0,5.523318153663693e-29
4880,0.0,-2.5547797950274268e-30
